,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5046996687852475,0.0026484411646516093
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5062864326490563,0.003367725041062199
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5091110556675791,0.00407791742192859
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5174404755587729,0.007300624032887109
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5818602260539578,0.04115823692258141
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.506809118507419,0.003621860072821941
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.509134229715664,0.004258238990407197
7,transf,entire_dataset_mia_privacy_risk,0.5050935457882015,0.0025643616617481942
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5066406581144612,0.0032740771934197674
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5099382934314008,0.005058953952930876
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5168522880898532,0.008419828996574433
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5842980108615582,0.04376081036163127
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5069205071698145,0.003469717993526358
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5093183882620722,0.005159675885178289
14,dir,entire_dataset_mia_privacy_risk,0.5213991585354936,0.01268888572607429
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5247601230136527,0.021522749254121808
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5285526872167468,0.02464362052795391
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5222603854137057,0.015007115665735161
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5824108922011785,0.04425593784694247
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5271994143776539,0.02396601861952728
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5290263155620238,0.02501307888964831
21,rew,entire_dataset_mia_privacy_risk,0.5049838868498793,0.0027994150704494752
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5066586911430793,0.0034560579723072016
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5098256017189096,0.005012904094085369
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5166612306590939,0.008805744809064995
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5908159418206779,0.03981046673417469
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5070271213980401,0.003719333281962262
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5093327294330648,0.0050648130980261935
28,eg,entire_dataset_mia_privacy_risk,0.5047019067227643,0.0026269140182828693
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.506265117398096,0.003344781673745709
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5092043224673775,0.004178265247012874
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5179086573322587,0.007163056106120021
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.582567404334445,0.03984666542267429
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5068126701675809,0.003616527906673715
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5091964053506584,0.0043804629122934
