,Method,Metric,Mean,Error
0,orig,bal_acc,0.5352082471815485,0.0063210217140891615
1,orig,disp_imp,0.011633701560073696,0.008089745241808204
2,orig,avg_odds_diff,0.0071866372698790645,0.02347062217257689
3,orig,stat_par_diff,0.011563418121316393,0.008038471117015741
4,orig,eq_opp_diff,0.0061715089095030875,0.0049419855444840805
5,orig,theil_ind,0.01901610968895378,0.0008687657657250231
6,orig,unpriv_fpr,0.9273408016393571,0.014012026517311624
7,orig,unpriv_fnr,0.002781748223172766,0.0009152922832575094
8,orig,priv_fpr,0.9191390360091021,0.04189809404642977
9,orig,priv_fnr,0.008953257132675849,0.005031814809086436
10,transf,bal_acc,0.5352082471815485,0.0063210217140891615
11,transf,disp_imp,0.011633701560073696,0.008089745241808204
12,transf,avg_odds_diff,0.0071866372698790645,0.02347062217257689
13,transf,stat_par_diff,0.011563418121316393,0.008038471117015741
14,transf,eq_opp_diff,0.0061715089095030875,0.0049419855444840805
15,transf,theil_ind,0.01901610968895378,0.0008687657657250231
16,transf,unpriv_fpr,0.9273408016393571,0.014012026517311624
17,transf,unpriv_fnr,0.002781748223172766,0.0009152922832575094
18,transf,priv_fpr,0.9191390360091021,0.04189809404642977
19,transf,priv_fnr,0.008953257132675849,0.005031814809086436
20,dir,bal_acc,0.5371413861088762,0.008275531308729508
21,dir,disp_imp,0.01725902263171476,0.008038512841168896
22,dir,avg_odds_diff,0.020957354836140075,0.020854906753349084
23,dir,stat_par_diff,0.01715107068825277,0.007980426359133402
24,dir,eq_opp_diff,0.009006678518575817,0.005711596948555609
25,dir,theil_ind,0.018979131582675182,0.0008485455327419696
26,dir,unpriv_fpr,0.9260573726756822,0.016282306109101495
27,dir,unpriv_fnr,0.0026921246467728225,0.0008471633921857435
28,dir,priv_fpr,0.8931493415219782,0.0436711726973344
29,dir,priv_fnr,0.011698803165348642,0.005881783410518096
30,rew,bal_acc,0.5339571171072968,0.005986629731132774
31,rew,disp_imp,0.005700887551958506,0.004356062871388504
32,rew,avg_odds_diff,-0.013218214069592057,0.015641310487220412
33,rew,stat_par_diff,0.004595222233581836,0.005506130331611484
34,rew,eq_opp_diff,0.0033256389116574523,0.003547182790758327
35,rew,theil_ind,0.018766098484893506,0.0008462947012422023
36,rew,unpriv_fpr,0.9260427308431263,0.013842965865111134
37,rew,unpriv_fnr,0.0025970161840563064,0.0008385158877494073
38,rew,priv_fpr,0.9558047978939678,0.02532053787754597
39,rew,priv_fnr,0.0059226550957137605,0.0036952133258520677
40,eg,bal_acc,0.5381420505249368,0.0073835352580991585
41,eg,disp_imp,0.008884647591416578,0.0061106727791160895
42,eg,avg_odds_diff,-0.007779539846746561,0.02858614219259948
43,eg,stat_par_diff,0.006295515284731995,0.008797023890317852
44,eg,eq_opp_diff,0.003123149014735982,0.004789058186587216
45,eg,theil_ind,0.019194097478376394,0.000848759831952847
46,eg,unpriv_fpr,0.918318906056629,0.01920111700962991
47,eg,unpriv_fnr,0.0031934382560980536,0.0009675694895931681
48,eg,priv_fpr,0.9370011347648578,0.041935969681415754
49,eg,priv_fnr,0.0063165872708340325,0.0045628699269351855
