,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5071064525435138,0.0021367394076857228
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5838945065824476,0.008992989297978331
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5074067953632535,0.0022117562264579926
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5812998946603731,0.009310957316330248
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5071587326421603,0.0024716159057457986
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.6471660841410535,0.029538466210459816
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5290534540147204,0.012747881564459704
7,transf,entire_dataset_mia_privacy_risk,0.5071064525435138,0.0021367394076857228
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5838945065824476,0.008992989297978331
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5074067953632535,0.0022117562264579926
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5812998946603731,0.009310957316330248
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5071587326421603,0.0024716159057457986
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.6471660841410535,0.029538466210459816
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5290534540147204,0.012747881564459704
14,dir,entire_dataset_mia_privacy_risk,0.5082844504279258,0.0036958516582358456
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5794516252166986,0.010526393469545812
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5086001368126444,0.003920880714838422
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5773905753492843,0.00977539728227577
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5082864833296588,0.004236070705847306
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.6494010597744273,0.025667028943796605
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5365796279681146,0.015895491466875328
21,rew,entire_dataset_mia_privacy_risk,0.5069718242138668,0.002159137861859459
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5846175586455489,0.008793817694094784
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5071853472454181,0.002304661765149449
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.585344367860173,0.00839398501392241
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5069820353494824,0.002408500600096397
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.6125463356421939,0.023969513507765605
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5278395686695381,0.01003141790082447
28,eg,entire_dataset_mia_privacy_risk,0.5067770939513415,0.0021757811959854274
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5776213471542061,0.015956222343642315
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5069927234554943,0.0023810197545704004
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5815738529720298,0.012074286068221472
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5067924728294692,0.00251572038211985
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5992312582923882,0.03610928698248418
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5307073198709554,0.013475758104389706
