,Method,Metric,Mean,Error
0,orig,bal_acc,0.5360548328146386,0.0053327207415875474
1,orig,disp_imp,0.0030343620419353958,0.0018239905623954316
2,orig,avg_odds_diff,-0.006679812093824641,0.01002415077023846
3,orig,stat_par_diff,-0.0029970548499793524,0.0018516073697797384
4,orig,eq_opp_diff,-0.001694691844245999,0.0012804093984170415
5,orig,theil_ind,0.01902936484312938,0.0007416551516847542
6,orig,unpriv_fpr,0.9186604403873553,0.01668940116358089
7,orig,unpriv_fnr,0.0042091292625020945,0.0012749440586990895
8,orig,priv_fpr,0.9303253727307587,0.012665296714577341
9,orig,priv_fnr,0.002514437418256102,0.0008278584405909589
10,transf,bal_acc,0.5360736318578039,0.006896379338853837
11,transf,disp_imp,0.00232382875352134,0.0014685088867478025
12,transf,avg_odds_diff,-0.0026772589730093637,0.00981090347737542
13,transf,stat_par_diff,-0.0021219743328093786,0.0017360391205676954
14,transf,eq_opp_diff,-0.0011704719677056497,0.0012552339244238776
15,transf,theil_ind,0.01922060430228156,0.0007691437322550758
16,transf,unpriv_fpr,0.9222916527107433,0.015165452381845178
17,transf,unpriv_fnr,0.004115631570254725,0.0012927123514775388
18,transf,priv_fpr,0.9264756986890564,0.01920937958515858
19,transf,priv_fnr,0.0029451596025490837,0.0008430285760898746
20,dir,bal_acc,0.5358692791175119,0.007567258560834005
21,dir,disp_imp,0.0026403194602490853,0.0014416864009160763
22,dir,avg_odds_diff,-0.005614799344920462,0.008624722704156523
23,dir,stat_par_diff,-0.002626589888159836,0.0014367823428517675
24,dir,eq_opp_diff,-0.0014013385541457202,0.0012913959757409152
25,dir,theil_ind,0.019024290066263848,0.0008853098633315042
26,dir,unpriv_fpr,0.9199538616090972,0.014384834451704138
27,dir,unpriv_fnr,0.004033324667858341,0.0012066787057322982
28,dir,priv_fpr,0.9297821217447926,0.020975412506916022
29,dir,priv_fnr,0.002631986113712638,0.001251161362172191
30,rew,bal_acc,0.5351810278402429,0.005890311391438924
31,rew,disp_imp,0.002099330585999204,0.0013130653018893468
32,rew,avg_odds_diff,-0.0018284238265753039,0.00740517541612675
33,rew,stat_par_diff,-0.002056674311135309,0.001356238081895837
34,rew,eq_opp_diff,-0.001210238315087525,0.0011803114725710366
35,rew,theil_ind,0.018906418996686263,0.0007767890156337405
36,rew,unpriv_fpr,0.9252941920410265,0.014787555364205372
37,rew,unpriv_fnr,0.0037788057914428684,0.0011979387409503078
38,rew,priv_fpr,0.9277408013790899,0.013826967973741566
39,rew,priv_fnr,0.002568567476355349,0.0009246402998742648
40,eg,bal_acc,0.5354827655124892,0.005653697124374984
41,eg,disp_imp,0.0030242452247968175,0.0023725850299069315
42,eg,avg_odds_diff,-0.005114926109820903,0.015933953650017905
43,eg,stat_par_diff,-0.0027391706784854588,0.0026857745592024345
44,eg,eq_opp_diff,-0.0016015872493921057,0.0014160216317728584
45,eg,theil_ind,0.01900824893207754,0.0007041673045469241
46,eg,unpriv_fpr,0.9212826131101641,0.02370290776195948
47,eg,unpriv_fnr,0.004116102030266895,0.0012556706904090146
48,eg,priv_fpr,0.9299108780804138,0.013936733412981584
49,eg,priv_fnr,0.0025145147808747865,0.0008085579754237617
