,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5062097317049716,0.002260089760569374
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5840989491028605,0.013500861153223126
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5068909546502207,0.0019789598633467927
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5859668454002144,0.011286310251337061
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5089987242494909,0.0027573569125478783
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5920207959615069,0.02267924226520335
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5082741570304847,0.0030802979468997427
7,transf,entire_dataset_mia_privacy_risk,0.505969323973459,0.0024246027594499214
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5801543518524993,0.016739745740785784
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5066829520466181,0.0021046445633765205
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5787334135808464,0.013751247666410374
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5087399928650712,0.00269653295050566
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.589731375520836,0.0250612155482512
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.507979404017584,0.002951114703703655
14,dir,entire_dataset_mia_privacy_risk,0.5071160688527743,0.0025945282989505935
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5835607820522635,0.016091739414254565
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5078364413540781,0.002455988765656128
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.587857849722986,0.014065133038180412
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5094834402048185,0.0032897753126007842
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5907060738795875,0.02510599559159327
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5097307166987011,0.004349230931140514
21,rew,entire_dataset_mia_privacy_risk,0.5064597557457449,0.002146323027142878
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5838590176815016,0.014082831357221869
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5072003936187441,0.0017939174931618442
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5813305480482849,0.011216547615267218
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.509518402418252,0.0027772273646390054
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5958025979133803,0.023795717716337657
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.508291828546646,0.002974965310961547
28,eg,entire_dataset_mia_privacy_risk,0.506293874411001,0.002310543502412586
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.583099787402305,0.01568059192544996
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5070005325374691,0.002041706317737348
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5828618283961016,0.013740397407203094
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5091288604546546,0.002740142273842199
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5949231439379067,0.022507208742713933
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5083963090523389,0.0030724089159036815
