,Method,Metric,Mean,Error
0,orig,bal_acc,0.7743812373099452,0.00533521721553464
1,orig,disp_imp,0.47904343523342974,0.022766167383382902
2,orig,avg_odds_diff,-0.1320902290388188,0.019307744398087984
3,orig,stat_par_diff,-0.2178691216738186,0.02102538799934577
4,orig,eq_opp_diff,-0.10152637640239301,0.02210917788150627
5,orig,theil_ind,0.08744677884078444,0.0025708361670756016
6,orig,unpriv_fpr,0.16855574805653525,0.020068905644841935
7,orig,unpriv_fnr,0.28432057591349874,0.02932172149400379
8,orig,priv_fpr,0.3312098297317798,0.04114887879640782
9,orig,priv_fnr,0.18279419951110576,0.029055064568904346
10,transf,bal_acc,0.7742930552476562,0.004865822297059015
11,transf,disp_imp,0.4267558355507699,0.019905661940011504
12,transf,avg_odds_diff,-0.09546815579657328,0.013994448468080683
13,transf,stat_par_diff,-0.17894594780258297,0.01464546602735977
14,transf,eq_opp_diff,-0.07031303193358389,0.01750967607468136
15,transf,theil_ind,0.08801226155267139,0.00193475823431864
16,transf,unpriv_fpr,0.17219227844691432,0.022820173276598462
17,transf,unpriv_fnr,0.2777846694006708,0.027132112495174512
18,transf,priv_fpr,0.29281555810647697,0.037602944529566085
19,transf,priv_fnr,0.20747163746708702,0.026414903343887505
20,dir,bal_acc,0.7739446360549708,0.0056107416578894485
21,dir,disp_imp,0.4836025066172299,0.023534703277475467
22,dir,avg_odds_diff,-0.13136670685983443,0.011022668904804248
23,dir,stat_par_diff,-0.2140898627503134,0.01277042816533486
24,dir,eq_opp_diff,-0.10571911441781705,0.022386552738657844
25,dir,theil_ind,0.08809937453245159,0.0022630284495984408
26,dir,unpriv_fpr,0.16172823945149503,0.021553781077598647
27,dir,unpriv_fnr,0.2960649703495745,0.03483025807510743
28,dir,priv_fpr,0.31874253875334685,0.03507067843789627
29,dir,priv_fnr,0.19034585593175754,0.021831054619070242
30,rew,bal_acc,0.7728730917694648,0.00565721895633357
31,rew,disp_imp,0.4214941910834554,0.022461180422309393
32,rew,avg_odds_diff,-0.09344968880909221,0.012547250442160218
33,rew,stat_par_diff,-0.17608055318319088,0.01228932062448564
34,rew,eq_opp_diff,-0.06920309826355889,0.017491682257992767
35,rew,theil_ind,0.08859365227770719,0.0022074400537519154
36,rew,unpriv_fpr,0.17382945656403762,0.019701592195511992
37,rew,unpriv_fnr,0.2793693015845062,0.024341641885383743
38,rew,priv_fpr,0.2915257359186632,0.02915949056991744
39,rew,priv_fnr,0.21016620332094732,0.023698801534072667
40,eg,bal_acc,0.6794868066132598,0.007629511464997411
41,eg,disp_imp,0.5460478865601985,0.029433220745887043
42,eg,avg_odds_diff,-0.057941599590737435,0.01677498709193717
43,eg,stat_par_diff,-0.0905899644920061,0.010533409780643191
44,eg,eq_opp_diff,-0.07810031574405497,0.029122361347887375
45,eg,theil_ind,0.12211314529327259,0.003902737303874123
46,eg,unpriv_fpr,0.033766485270516566,0.0031316613355263337
47,eg,unpriv_fnr,0.6365747860384461,0.017356236976640353
48,eg,priv_fpr,0.07154936870793646,0.009210522200924744
49,eg,priv_fnr,0.5584744702943911,0.028032984781884505
