,Method,Metric,Mean,Error
0,orig,bal_acc,0.8424026491920866,0.011842715430826399
1,orig,avg_odds_diff,0.20964980462696695,0.036315564757293174
2,orig,disp_imp,0.5972659778015441,0.038934139071092555
3,orig,stat_par_diff,0.408775213731959,0.033285270125571836
4,orig,eq_opp_diff,0.06812090737977652,0.056269484067699174
5,orig,theil_ind,0.06024233272527476,0.0034238314715359713
6,orig,unpriv_fpr,0.547533889294274,0.027078565849467006
7,orig,unpriv_fnr,0.04590499156016397,0.01781804132955449
8,orig,priv_fpr,0.1963551874201168,0.026528182631389372
9,orig,priv_fnr,0.1140258989399405,0.049754810992996695
10,transf,bal_acc,0.8399497047206612,0.009335756354357705
11,transf,avg_odds_diff,0.09873883274908635,0.054560675378229444
12,transf,disp_imp,0.5039819778440814,0.061193912890228054
13,transf,stat_par_diff,0.2948599390859158,0.05569020505321311
14,transf,eq_opp_diff,-0.029602420816423745,0.07033333171294343
15,transf,theil_ind,0.06082300793042313,0.002517112144444307
16,transf,unpriv_fpr,0.4339685748742589,0.0335153622143951
17,transf,unpriv_fnr,0.12876231814162847,0.0572196281088248
18,transf,priv_fpr,0.20688848855966246,0.021568873194751263
19,transf,priv_fnr,0.09915989732520473,0.03671997496340374
20,dir,bal_acc,0.8366334436220694,0.01579783590631386
21,dir,avg_odds_diff,0.07981014531774103,0.09147543079463254
22,dir,disp_imp,0.474828284866323,0.10220785593614809
23,dir,stat_par_diff,0.2776416204269251,0.09353607860911661
24,dir,eq_opp_diff,-0.05691419761056653,0.1010594960421251
25,dir,theil_ind,0.061666507278681906,0.0044412970158850375
26,dir,unpriv_fpr,0.43074051475819647,0.08021899258134423
27,dir,unpriv_fnr,0.15178168957479304,0.08453484049451646
28,dir,priv_fpr,0.21420602651214787,0.022789481740392106
29,dir,priv_fnr,0.0948674919642265,0.044418764246999344
30,rew,bal_acc,0.8435011235396764,0.009829110800651242
31,rew,avg_odds_diff,0.1930011752703281,0.02518099312066786
32,rew,disp_imp,0.5960223021850416,0.04912795867856152
33,rew,stat_par_diff,0.3938383220581372,0.02483977294443728
34,rew,eq_opp_diff,0.05047566646263002,0.048529172314835396
35,rew,theil_ind,0.0597243164852849,0.002837654813517122
36,rew,unpriv_fpr,0.5243618384773189,0.05002944322535533
37,rew,unpriv_fnr,0.06688401253918495,0.017822168161904964
38,rew,priv_fpr,0.18883515439929263,0.04130668511313476
39,rew,priv_fnr,0.11735967900181501,0.06342193735032739
40,eg,bal_acc,0.7154475971431367,0.017673510947606934
41,eg,avg_odds_diff,0.09819690080208061,0.05927880026515208
42,eg,disp_imp,0.6898750715133704,0.07296663234801525
43,eg,stat_par_diff,0.1927394066318649,0.052507578346990366
44,eg,eq_opp_diff,0.09535980879670479,0.10198397559687064
45,eg,theil_ind,0.08286020847735331,0.004616290867138693
46,eg,unpriv_fpr,0.13564299498667934,0.022889581191952814
47,eg,unpriv_fnr,0.45041009565147494,0.09492507470621896
48,eg,priv_fpr,0.03460900217922289,0.00531078930487227
49,eg,priv_fnr,0.5457699044481797,0.04147007791229956
