,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5100739118532713,0.001417817044903213
1,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5369955915009198,0.009866370430983219
2,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5964560433360822,0.01719909982478504
3,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5073008639286625,0.004743458338177143
4,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5580666925734825,0.010040929515060228
5,transf,entire_dataset_mia_privacy_risk,0.5078839310156036,0.0015979686693343906
6,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5615806859434596,0.013845752091826452
7,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5989716555097808,0.025823072503969285
8,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.507467576657587,0.004306590819284235
9,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5442679542318953,0.005296551521561049
10,dir,entire_dataset_mia_privacy_risk,0.5353955652888038,0.02359844874290406
11,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5610966747041957,0.010821105215069727
12,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.6045190912913109,0.022668699429522186
13,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5415236717738072,0.0262408487192737
14,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5546294561868178,0.009955479187919912
15,rew,entire_dataset_mia_privacy_risk,0.5093895428415001,0.0011311773069474132
16,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.531123451590191,0.013343585003832264
17,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5655047899593796,0.03069419974593344
18,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5070327347954745,0.004039702241020938
19,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5639119308304916,0.008535408164850856
20,eg,entire_dataset_mia_privacy_risk,0.5803449219819327,0.0033582929500096245
21,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.665116084129147,0.007777219692596559
22,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.8473720419130812,0.014767491937049489
23,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5522028250513783,0.0013646683931087227
24,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.8579930919180182,0.015497779871343752
