,Method,Metric,Mean,Error
0,orig,bal_acc,0.6362101653419028,0.012288816309133883
1,orig,avg_odds_diff,0.1151982189684024,0.06820883727550424
2,orig,disp_imp,0.2744085655013213,0.12344237656476909
3,orig,stat_par_diff,0.1494927383542117,0.06476508682823905
4,orig,eq_opp_diff,0.08853925747612404,0.09266456473870936
5,orig,theil_ind,0.21025269045545913,0.0416844052679239
6,orig,unpriv_fpr,0.44555146813233104,0.08468187896883936
7,orig,unpriv_fnr,0.2996134451343631,0.07758219192932973
8,orig,priv_fpr,0.3036942876716502,0.10584184335996813
9,orig,priv_fnr,0.38815270261048707,0.1363662868489133
10,transf,bal_acc,0.6361615683946746,0.012321570095411651
11,transf,avg_odds_diff,0.11341820358583947,0.0733050489628175
12,transf,disp_imp,0.2776138186520591,0.1175351126329686
13,transf,stat_par_diff,0.14751666788457113,0.07053207314026272
14,transf,eq_opp_diff,0.08782751370388206,0.09484397674942427
15,transf,theil_ind,0.21055081729295105,0.04161851908531984
16,transf,unpriv_fpr,0.4444473671859588,0.08457638249991886
17,transf,unpriv_fnr,0.3003251889066051,0.07784665732853208
18,transf,priv_fpr,0.3054384737181618,0.10790083248730123
19,transf,priv_fnr,0.38815270261048707,0.1363662868489133
20,dir,bal_acc,0.6418344575494599,0.01727763882348496
21,dir,avg_odds_diff,0.1115389076549665,0.06090090127567664
22,dir,disp_imp,0.27578841626956746,0.11505085167246003
23,dir,stat_par_diff,0.1438694458519939,0.06058047027228467
24,dir,eq_opp_diff,0.10082669328958957,0.08607945680682162
25,dir,theil_ind,0.2199475201066849,0.04050734261837437
26,dir,unpriv_fpr,0.4079072605938997,0.0948114020949653
27,dir,unpriv_fnr,0.31947386455323284,0.07805446864346162
28,dir,priv_fpr,0.2856561385735562,0.10971649262987937
29,dir,priv_fnr,0.4203005578428224,0.12467097363241811
30,rew,bal_acc,0.6343670036162912,0.011758734625295393
31,rew,avg_odds_diff,0.09356364905461437,0.06099812028803433
32,rew,disp_imp,0.24201093094317,0.10293735423913314
33,rew,stat_par_diff,0.1250874725442052,0.056534543115664145
34,rew,eq_opp_diff,0.07739614377420494,0.0865374407351816
35,rew,theil_ind,0.22765212693908307,0.044774718907538674
36,rew,unpriv_fpr,0.407275150828316,0.0885867128884768
37,rew,unpriv_fnr,0.336279284165926,0.08918285703782514
38,rew,priv_fpr,0.29754399649329216,0.09108924216557691
39,rew,priv_fnr,0.413675427940131,0.1111716559811572
40,eg,bal_acc,0.628145674666662,0.01125895953236107
41,eg,avg_odds_diff,0.10350327322151505,0.0644787550113107
42,eg,disp_imp,0.2738313863468463,0.1197971797678598
43,eg,stat_par_diff,0.13510322516221573,0.06119104728302283
44,eg,eq_opp_diff,0.07909963670928569,0.09286459060054746
45,eg,theil_ind,0.25108152400671024,0.02400140689381493
46,eg,unpriv_fpr,0.3776479429260554,0.052290214610128595
47,eg,unpriv_fnr,0.3822242233000105,0.04804018533659221
48,eg,priv_fpr,0.24974103319231103,0.07064874665746106
49,eg,priv_fnr,0.4613238600092962,0.0983242961500134
