,Method,Metric,Mean,Error
0,orig,bal_acc,0.6742824124516964,0.015988080354019205
1,orig,disp_imp,0.3369599045844007,0.14295267355137264
2,orig,avg_odds_diff,0.1377182569298196,0.06925019777666
3,orig,stat_par_diff,0.17584639488431741,0.06829903820686926
4,orig,eq_opp_diff,0.12963742731458225,0.08277381114084859
5,orig,theil_ind,0.20645978808853388,0.02750292167367528
6,orig,unpriv_fpr,0.3663414110049077,0.07824188359077305
7,orig,unpriv_fnr,0.2972650461930558,0.06227583195523735
8,orig,priv_fpr,0.22054232445985078,0.09843181389946086
9,orig,priv_fnr,0.4269024735076381,0.0967790137814929
10,transf,bal_acc,0.6742619796443392,0.015986112333934547
11,transf,disp_imp,0.3380826945121054,0.14071856996404236
12,transf,avg_odds_diff,0.13775084508463448,0.06918161504436854
13,transf,stat_par_diff,0.1762385471288885,0.06743738125465419
14,transf,eq_opp_diff,0.12768330936847141,0.08703100651336153
15,transf,theil_ind,0.20764713272065186,0.027434260069898478
16,transf,unpriv_fpr,0.3642909378187878,0.07887504142446568
17,transf,unpriv_fnr,0.3001120212820238,0.06347478514607012
18,transf,priv_fpr,0.2164725570179903,0.09497624681233947
19,transf,priv_fnr,0.42779533065049524,0.09530563465833818
20,dir,bal_acc,0.6707374183378345,0.016313295842277458
21,dir,disp_imp,0.2940670741176624,0.10058812087876524
22,dir,avg_odds_diff,0.11151291582574437,0.05869998871328629
23,dir,stat_par_diff,0.15255976004893013,0.05487415009834336
24,dir,eq_opp_diff,0.08807998050613366,0.07537117173905436
25,dir,theil_ind,0.2108318113663194,0.03354956597841275
26,dir,unpriv_fpr,0.36403679939657685,0.08058323547182088
27,dir,unpriv_fnr,0.3103083339328057,0.07178112515146089
28,dir,priv_fpr,0.2290909482512217,0.07543765273908028
29,dir,priv_fnr,0.3983883144389394,0.09201154761652534
30,rew,bal_acc,0.6734267287438417,0.015163010482143689
31,rew,disp_imp,0.24950773092854214,0.11739991802120268
32,rew,avg_odds_diff,0.08491168761815525,0.052856119906776716
33,rew,stat_par_diff,0.12318045955031687,0.05194684243449137
34,rew,eq_opp_diff,0.07686010281531222,0.0755929218304415
35,rew,theil_ind,0.21556876358879973,0.028546670460951322
36,rew,unpriv_fpr,0.3375450412500823,0.06653858712761894
37,rew,unpriv_fnr,0.3242086845181026,0.06476385099938557
38,rew,priv_fpr,0.24458176882908397,0.08748402526641005
39,rew,priv_fnr,0.4010687873334148,0.08771547539117873
40,eg,bal_acc,0.6605065174303442,0.016412623294004128
41,eg,disp_imp,0.13952295734120176,0.134562954470045
42,eg,avg_odds_diff,0.0221113993499808,0.058438617011041416
43,eg,stat_par_diff,0.057689004930653875,0.057162220827329566
44,eg,eq_opp_diff,0.015832580056151867,0.07124755770012187
45,eg,theil_ind,0.25143376148064017,0.02429953234355574
46,eg,unpriv_fpr,0.27978783667834495,0.04586531228542026
47,eg,unpriv_fnr,0.4029436436838877,0.048654148816414215
48,eg,priv_fpr,0.25139761803453525,0.08243669135700729
49,eg,priv_fnr,0.41877622374003953,0.08044072855838023
