,Method,Metric,Mean,Error
0,orig,bal_acc,0.6466606063557492,0.04451846611280472
1,orig,disp_imp,0.11329435135086467,0.07601268183240019
2,orig,avg_odds_diff,-0.03170197453081523,0.09785225272330532
3,orig,stat_par_diff,-0.0491710553965879,0.0726031049439244
4,orig,eq_opp_diff,-0.01750828570515478,0.0844349473262639
5,orig,theil_ind,0.28779829753849573,0.1237648780451348
6,orig,unpriv_fpr,0.3718972693972694,0.1790241865298012
7,orig,unpriv_fnr,0.3108381818163545,0.14187842244662802
8,orig,priv_fpr,0.4177929327537451,0.16396152956725044
9,orig,priv_fnr,0.29332989611119975,0.12315866937593963
10,transf,bal_acc,0.6430229489617099,0.04621207451793703
11,transf,disp_imp,0.11454425692820092,0.10591911175142404
12,transf,avg_odds_diff,0.020765844008393035,0.11448778527168091
13,transf,stat_par_diff,-0.00489395194264026,0.10077723150012675
14,transf,eq_opp_diff,0.009864217669496762,0.1202226137102785
15,transf,theil_ind,0.2860729116793138,0.13485522924137539
16,transf,unpriv_fpr,0.43269673309147,0.21257321732787365
17,transf,unpriv_fnr,0.2851964675313516,0.20148848899946048
18,transf,priv_fpr,0.4010292627441805,0.188487508094575
19,transf,priv_fnr,0.2950606852008483,0.13025537216676036
20,dir,bal_acc,0.6334879297061697,0.04929813808521342
21,dir,disp_imp,0.13630711487602115,0.08506077424975375
22,dir,avg_odds_diff,-0.04048235040562838,0.10314472955939816
23,dir,stat_par_diff,-0.05232041114444004,0.08102509292222322
24,dir,eq_opp_diff,-0.019399903838413602,0.11412871194709384
25,dir,theil_ind,0.2789307939255595,0.14626186423724388
26,dir,unpriv_fpr,0.4048229183097606,0.2622062315200976
27,dir,unpriv_fnr,0.2963658100293386,0.18907567389991742
28,dir,priv_fpr,0.4663877152826036,0.23851069638967046
29,dir,priv_fnr,0.276965906190925,0.17587839454103735
30,rew,bal_acc,0.6409593172360306,0.0463096962435576
31,rew,disp_imp,0.12207481467898278,0.10601090197505281
32,rew,avg_odds_diff,-0.020310367692284555,0.12381404864287647
33,rew,stat_par_diff,-0.0410695877802955,0.09310197632275438
34,rew,eq_opp_diff,-0.01161089362375145,0.10377391273595789
35,rew,theil_ind,0.2606805687602602,0.11832208517629045
36,rew,unpriv_fpr,0.4254388411296305,0.21961334759689127
37,rew,unpriv_fnr,0.2738243215140649,0.1707013027325141
38,rew,priv_fpr,0.45444868289044826,0.16804768593625158
39,rew,priv_fnr,0.26221342789031343,0.12024220510467354
40,eg,bal_acc,0.5913570338775747,0.045148718831665276
41,eg,disp_imp,0.07026541420903373,0.060378013790011266
42,eg,avg_odds_diff,-0.02073423944357968,0.0884151906394918
43,eg,stat_par_diff,-0.02721770452606973,0.07306308692411213
44,eg,eq_opp_diff,-0.0016770093550114052,0.0781796304800978
45,eg,theil_ind,0.13416661933896085,0.047970763715984605
46,eg,unpriv_fpr,0.6760948481343217,0.19600579098208154
47,eg,unpriv_fnr,0.11031921228095935,0.09064754188685523
48,eg,priv_fpr,0.7158863176664696,0.1062764792260365
49,eg,priv_fnr,0.10864220292594795,0.06445652270509014
