,Method,Metric,Mean,Error
0,orig,bal_acc,0.5005364131462057,0.0013107460498439942
1,orig,disp_imp,0.00018153503991578113,0.00047464192524482177
2,orig,avg_odds_diff,-0.0010581603519692951,0.0026035825360469457
3,orig,stat_par_diff,-0.00018153503991578113,0.00047464192524482177
4,orig,eq_opp_diff,-4.816955684007751e-05,0.00021542080708090655
5,orig,theil_ind,0.017878129878636597,0.0014864674631155483
6,orig,unpriv_fpr,0.9979318488529014,0.005071266581511729
7,orig,unpriv_fnr,4.816955684007707e-05,0.0002154208070809046
8,orig,priv_fpr,1.0,0.0
9,orig,priv_fnr,0.0,0.0
10,transf,bal_acc,0.5003762540141807,0.0011582427349125205
11,transf,disp_imp,5.18340032748088e-05,0.00020513003847968828
12,transf,avg_odds_diff,-0.0007192216186583611,0.002222641267795693
13,transf,stat_par_diff,-5.182949435796336e-05,0.00020512844076483306
14,transf,eq_opp_diff,3.9123630672927014e-05,0.00017496619542252127
15,transf,theil_ind,0.01788389988470794,0.0014837648643744382
16,transf,unpriv_fpr,0.9985224331320103,0.004578043008410015
17,transf,unpriv_fnr,0.0,0.0
18,transf,priv_fpr,1.0,0.0
19,transf,priv_fnr,3.912363067292645e-05,0.00017496619542251875
20,dir,bal_acc,0.5011255462701514,0.002200369175309053
21,dir,disp_imp,0.00025834048180979895,0.0004947382133308155
22,dir,avg_odds_diff,-0.0014317391576882527,0.0046989263203395856
23,dir,stat_par_diff,-0.0001884592798531204,0.0005269080706019954
24,dir,eq_opp_diff,0.0,0.0
25,dir,theil_ind,0.017839597483861262,0.0014829290456892675
26,dir,unpriv_fpr,0.9963672909153927,0.008402522540143623
27,dir,unpriv_fnr,0.0,0.0
28,dir,priv_fpr,0.9992307692307693,0.003440104580768895
29,dir,priv_fnr,0.0,0.0
30,rew,bal_acc,0.5005364131462057,0.0013107460498439942
31,rew,disp_imp,0.00018153503991578113,0.00047464192524482177
32,rew,avg_odds_diff,-0.0010581603519692951,0.0026035825360469457
33,rew,stat_par_diff,-0.00018153503991578113,0.00047464192524482177
34,rew,eq_opp_diff,-4.816955684007751e-05,0.00021542080708090655
35,rew,theil_ind,0.017878129878636597,0.0014864674631155483
36,rew,unpriv_fpr,0.9979318488529014,0.005071266581511729
37,rew,unpriv_fnr,4.816955684007707e-05,0.0002154208070809046
38,rew,priv_fpr,1.0,0.0
39,rew,priv_fnr,0.0,0.0
40,eg,bal_acc,0.5297662900522013,0.014608045507335318
41,eg,disp_imp,0.004142566217406685,0.003465927822728379
42,eg,avg_odds_diff,-0.0038573610184718526,0.03086560499435175
43,eg,stat_par_diff,-0.0020116013994463332,0.0050519704820508
44,eg,eq_opp_diff,-0.0009231614268158273,0.002675169071565895
45,eg,theil_ind,0.02029988282806992,0.0021471807975518733
46,eg,unpriv_fpr,0.9335146061868855,0.05334674465746588
47,eg,unpriv_fnr,0.00406370337918773,0.002629568783573992
48,eg,priv_fpr,0.9403061667970137,0.029087146226782833
49,eg,priv_fnr,0.0031405419523719133,0.0024390706278858707
