,Method,Metric,Mean,Error
0,orig,bal_acc,0.8529417891667274,0.008488180082245432
1,orig,disp_imp,0.61393202279977,0.019232284927387454
2,orig,avg_odds_diff,0.2100705477853896,0.020007926040792694
3,orig,stat_par_diff,0.4189000301274904,0.024758225556761836
4,orig,eq_opp_diff,0.056224718652129704,0.0230347436798741
5,orig,theil_ind,0.05751614469644586,0.00230114526676938
6,orig,unpriv_fpr,0.5445308168252334,0.038275640594736475
7,orig,unpriv_fnr,0.049907866327017755,0.025401758387094422
8,orig,priv_fpr,0.18061443990658393,0.013553799786945812
9,orig,priv_fnr,0.10613258497914746,0.018448926264454588
10,transf,bal_acc,0.8539993073543073,0.008734340101459119
11,transf,disp_imp,0.5874756073461903,0.025464162597103903
12,transf,avg_odds_diff,0.17208796469613388,0.028153756244752526
13,transf,stat_par_diff,0.3796216959548631,0.030851074102391983
14,transf,eq_opp_diff,0.02520302513282906,0.040254788947792414
15,transf,theil_ind,0.05720903556382576,0.0023209803347854726
16,transf,unpriv_fpr,0.5018795499337184,0.03728766409007412
17,transf,unpriv_fnr,0.07384200534391992,0.04206385057011052
18,transf,priv_fpr,0.18290664567427975,0.01774656039289554
19,transf,priv_fnr,0.09904503047674898,0.020583445406834953
20,dir,bal_acc,0.8536364820793431,0.009481555463711306
21,dir,disp_imp,0.6030053876254937,0.03266445569760844
22,dir,avg_odds_diff,0.1866469038812451,0.04512360767660022
23,dir,stat_par_diff,0.39745886300343997,0.04538675921544357
24,dir,eq_opp_diff,0.029865233855346663,0.041034056863847375
25,dir,theil_ind,0.05726125487257533,0.0025258075403204005
26,dir,unpriv_fpr,0.5205077020512219,0.06204185964304023
27,dir,unpriv_fnr,0.07502450646467632,0.034651995786495686
28,dir,priv_fpr,0.17707912814407842,0.01685229708194744
29,dir,priv_fnr,0.10488974032002299,0.02567379512779322
30,rew,bal_acc,0.854292075748272,0.007777750423834717
31,rew,disp_imp,0.607475830873722,0.03082703141868709
32,rew,avg_odds_diff,0.20041504460726284,0.02895426524361725
33,rew,stat_par_diff,0.4095297865907018,0.03122109843465571
34,rew,eq_opp_diff,0.04750640433506874,0.03226967624483974
35,rew,theil_ind,0.05707774744904953,0.001952056203600636
36,rew,unpriv_fpr,0.534589619497135,0.03767121953428038
37,rew,unpriv_fnr,0.054495845055576274,0.029404476469227978
38,rew,priv_fpr,0.18126593461767812,0.021598579556620395
39,rew,priv_fnr,0.10200224939064502,0.020151293172847636
40,eg,bal_acc,0.7067398465648345,0.016289952929057265
41,eg,disp_imp,0.6981169334614808,0.04247120269661275
42,eg,avg_odds_diff,0.10313252282201135,0.03572656855195548
43,eg,stat_par_diff,0.1932227992577006,0.03302033331281592
44,eg,eq_opp_diff,0.10115324660089327,0.0602847029008154
45,eg,theil_ind,0.08621283897710358,0.005011495572997735
46,eg,unpriv_fpr,0.14057478441847612,0.028604131521086273
47,eg,unpriv_fnr,0.46099569287316056,0.06690872888026483
48,eg,priv_fpr,0.03546298537534668,0.003866316269255524
49,eg,priv_fnr,0.562148939474054,0.03569829471746402
