,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5814467560908841,0.004026552812891579
1,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.6635241356536676,0.018451411569566565
2,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.8395872753999638,0.031191174654228295
3,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5526166154187959,0.004227282965092466
4,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.8568028191786686,0.01439508466686881
5,transf,entire_dataset_mia_privacy_risk,0.584937038050917,0.004371505833029539
6,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.7318202512560881,0.01822487789647812
7,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.8864494866867254,0.03641471514288077
8,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5537048729086125,0.004353896943501973
9,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.8673407984272489,0.012639750799438994
10,dir,entire_dataset_mia_privacy_risk,0.6446413906378321,0.028604948619604113
11,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.704415629067515,0.0199626049962002
12,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.8904066441280871,0.03155653843637165
13,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.6706938524807251,0.03395174277696691
14,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.8834756837818711,0.012912156357879548
15,rew,entire_dataset_mia_privacy_risk,0.5815494114426498,0.003752807521459825
16,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.6652162009120939,0.02264148213812687
17,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.8382424745656435,0.031073363275683497
18,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5532321490475776,0.0045215152408522846
19,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.8561732271416354,0.013075016712306957
20,eg,entire_dataset_mia_privacy_risk,0.5812551327675884,0.0040761538913960445
21,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.6641080166772068,0.022684229185415856
22,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.8361722337913026,0.03145370582065154
23,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5530645354794168,0.00456082778401381
24,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.8542643508550298,0.014252455228943337
