,Method,Metric,Mean,Error
0,orig,bal_acc,0.6670479510101565,0.009044587677120809
1,orig,disp_imp,0.35780692311195106,0.09437350501099935
2,orig,avg_odds_diff,0.17803466905490628,0.054903313915167846
3,orig,stat_par_diff,0.19800331063013285,0.053704678438612395
4,orig,eq_opp_diff,0.2250742880013715,0.06610238245446635
5,orig,theil_ind,0.21047661357222078,0.030688714713729994
6,orig,unpriv_fpr,0.3862271648019465,0.06760643262507808
7,orig,unpriv_fnr,0.2611430500526613,0.05915249101188111
8,orig,priv_fpr,0.2552321146935053,0.06433657816917765
9,orig,priv_fnr,0.48621733805403267,0.0888517564792657
10,transf,bal_acc,0.6670479510101565,0.009044587677120809
11,transf,disp_imp,0.35780692311195106,0.09437350501099935
12,transf,avg_odds_diff,0.17803466905490628,0.054903313915167846
13,transf,stat_par_diff,0.19800331063013285,0.053704678438612395
14,transf,eq_opp_diff,0.2250742880013715,0.06610238245446635
15,transf,theil_ind,0.21047661357222078,0.030688714713729994
16,transf,unpriv_fpr,0.3862271648019465,0.06760643262507808
17,transf,unpriv_fnr,0.2611430500526613,0.05915249101188111
18,transf,priv_fpr,0.2552321146935053,0.06433657816917765
19,transf,priv_fnr,0.48621733805403267,0.0888517564792657
20,dir,bal_acc,0.666611540714764,0.01298764735134679
21,dir,disp_imp,0.24037168226552103,0.08387931728067811
22,dir,avg_odds_diff,0.10339799610090301,0.04340088792931702
23,dir,stat_par_diff,0.12540120725768555,0.04308040772508724
24,dir,eq_opp_diff,0.14119963105368333,0.05028706660807074
25,dir,theil_ind,0.21137517888238727,0.03499234863605443
26,dir,unpriv_fpr,0.36033089974200544,0.07745033099514365
27,dir,unpriv_fnr,0.2884953100148082,0.06779092320546144
28,dir,priv_fpr,0.29473453859388277,0.07087470867261687
29,dir,priv_fnr,0.42969494106849143,0.09650207233209579
30,rew,bal_acc,0.6666721256704682,0.011344639937194171
31,rew,disp_imp,0.2940711715887408,0.08731553034677539
32,rew,avg_odds_diff,0.1277687624881359,0.04213240388695069
33,rew,stat_par_diff,0.1495992789567483,0.04189028177350326
34,rew,eq_opp_diff,0.16773933602945879,0.06533612070707713
35,rew,theil_ind,0.22278552874652818,0.0330669968306205
36,rew,unpriv_fpr,0.3454788147566277,0.07468782425584412
37,rew,unpriv_fnr,0.304022187586308,0.06346055304793573
38,rew,priv_fpr,0.25768062580981466,0.06277350638164869
39,rew,priv_fnr,0.47176152361576673,0.09246979833176228
40,eg,bal_acc,0.6552463152838717,0.013570070329277458
41,eg,disp_imp,0.18244004004241643,0.12167825695755166
42,eg,avg_odds_diff,0.04973127881012015,0.07895215800397654
43,eg,stat_par_diff,0.06965464067027095,0.08206696214572456
44,eg,eq_opp_diff,0.0895102544670999,0.09355942466042574
45,eg,theil_ind,0.24783072603704945,0.03582517896802932
46,eg,unpriv_fpr,0.29070668175592707,0.07515659633376724
47,eg,unpriv_fnr,0.3766069342775765,0.07695529438484314
48,eg,priv_fpr,0.28075437860278657,0.06762111241577431
49,eg,priv_fnr,0.46611718874467634,0.0904848996475109
