,Method,Metric,Mean,Error
0,orig,bal_acc,0.6458152346114551,0.04823035629779491
1,orig,disp_imp,0.33449282721000334,0.18453444145971926
2,orig,avg_odds_diff,-0.05252765150227005,0.17906115774048226
3,orig,stat_par_diff,-0.11500218070785381,0.1656934245429627
4,orig,eq_opp_diff,-0.11177584205209708,0.1636876097789567
5,orig,theil_ind,0.34942719456872384,0.1344906291362304
6,orig,unpriv_fpr,0.3364711677211677,0.2661285500040528
7,orig,unpriv_fnr,0.4710343088284265,0.23409887635600568
8,orig,priv_fpr,0.32975062867361077,0.1658850504490486
9,orig,priv_fnr,0.35925846677632944,0.13939870437679902
10,transf,bal_acc,0.6388317882905269,0.05275038257134605
11,transf,disp_imp,0.23567563997261232,0.1810404003950849
12,transf,avg_odds_diff,-0.01727768459399277,0.1431699442316931
13,transf,stat_par_diff,-0.07006410802997283,0.12889019842753682
14,transf,eq_opp_diff,-0.07631255455911394,0.12741155420798356
15,transf,theil_ind,0.351790858188265,0.18492020485642477
16,transf,unpriv_fpr,0.38342976467976475,0.3001092888313728
17,transf,unpriv_fnr,0.4344439628998452,0.22832408251856195
18,transf,priv_fpr,0.34167257930863626,0.19803967609526696
19,transf,priv_fnr,0.3581314083407313,0.18166242495268514
20,dir,bal_acc,0.6352199395123049,0.029118619071622186
21,dir,disp_imp,0.27936766409582237,0.18838277321446856
22,dir,avg_odds_diff,-0.09946213086697205,0.13352570145006223
23,dir,stat_par_diff,-0.1490973532624024,0.1174506879473452
24,dir,eq_opp_diff,-0.12993211786741082,0.14108549388418348
25,dir,theil_ind,0.30448372648852656,0.1246372783608898
26,dir,unpriv_fpr,0.35673562548562543,0.2466292454281361
27,dir,unpriv_fnr,0.43521136951284023,0.21633598801946358
28,dir,priv_fpr,0.4257277693521587,0.18054138723326582
29,dir,priv_fnr,0.3052792516454293,0.14586147475554234
30,rew,bal_acc,0.6399461669997717,0.04023178808451947
31,rew,disp_imp,0.24593832504953084,0.15729523167688395
32,rew,avg_odds_diff,0.019232047568836418,0.17372138533198603
33,rew,stat_par_diff,-0.05065774116873124,0.15015337890317873
34,rew,eq_opp_diff,-0.06373517615995652,0.15310545854310595
35,rew,theil_ind,0.3695533107661126,0.14825378900959926
36,rew,unpriv_fpr,0.40254884004884,0.2621345400832722
37,rew,unpriv_fnr,0.4469419428610605,0.19916237675649798
38,rew,priv_fpr,0.30034956875121077,0.14853129171077348
39,rew,priv_fnr,0.383206766701104,0.1496829881072138
40,eg,bal_acc,0.5649674728257766,0.029591623135141708
41,eg,disp_imp,0.13975283985470707,0.0998341293252567
42,eg,avg_odds_diff,-0.04229671083673932,0.14320590908009304
43,eg,stat_par_diff,-0.0664062320697715,0.13255245851121633
44,eg,eq_opp_diff,-0.06309834218362234,0.12596693241587864
45,eg,theil_ind,0.13177674742732443,0.04666656091674971
46,eg,unpriv_fpr,0.7470827783327784,0.19851258909004427
47,eg,unpriv_fnr,0.1593799093063799,0.15530342613564738
48,eg,priv_fpr,0.7685778578226347,0.10566256216021203
49,eg,priv_fnr,0.09628156712275755,0.050925806166113224
