,Method,Metric,Mean,Error
0,orig,bal_acc,0.6063512870130945,0.007487297413877679
1,orig,disp_imp,0.055664856076247896,0.045649760475026536
2,orig,avg_odds_diff,-0.0009515969668485808,0.037062670218279414
3,orig,stat_par_diff,-0.01351227144525945,0.036182358257782946
4,orig,eq_opp_diff,0.020468691339378658,0.0471233189262904
5,orig,theil_ind,0.16721433154411885,0.026220557188213957
6,orig,unpriv_fpr,0.4313479901997054,0.08710672634885151
7,orig,unpriv_fnr,0.33193587139230246,0.09047077716993415
8,orig,priv_fpr,0.4537198754727811,0.08677024216349168
9,orig,priv_fnr,0.3524045627316811,0.08030051781913304
10,transf,bal_acc,0.6057899991130224,0.008213041484817012
11,transf,disp_imp,0.03172608458474595,0.02185777235407774
12,transf,avg_odds_diff,0.012240840038327462,0.025890522190127534
13,transf,stat_par_diff,-0.0012983036781638007,0.02250417734278149
14,transf,eq_opp_diff,0.03599044314759038,0.04127474388837304
15,transf,theil_ind,0.15692513793969715,0.023770067592878783
16,transf,unpriv_fpr,0.47123243513477464,0.07962102513624478
17,transf,unpriv_fnr,0.29006592704596906,0.08072058299035935
18,transf,priv_fpr,0.48274119820570993,0.07921367829935733
19,transf,priv_fnr,0.3260563701935595,0.07166037239071227
20,dir,bal_acc,0.606933283677247,0.007431134223742432
21,dir,disp_imp,0.08983928336526617,0.05111464054382875
22,dir,avg_odds_diff,-0.028369277761791746,0.03522741649798338
23,dir,stat_par_diff,-0.04159126702431208,0.03549046636253438
24,dir,eq_opp_diff,-0.005382119194642526,0.04812352243531731
25,dir,theil_ind,0.16574278999591657,0.024798258844218483
26,dir,unpriv_fpr,0.4189455786914452,0.07502698607968773
27,dir,unpriv_fnr,0.3422054962963693,0.08657817043542451
28,dir,priv_fpr,0.4703020150203862,0.08243761684517242
29,dir,priv_fnr,0.3368233771017268,0.07818483453334973
30,rew,bal_acc,0.6062645839944945,0.007336026881990018
31,rew,disp_imp,0.040393146267965294,0.03051824550739722
32,rew,avg_odds_diff,0.013325779249013275,0.029804851187065422
33,rew,stat_par_diff,0.0006372178285673685,0.027409181075069684
34,rew,eq_opp_diff,0.03503581338971353,0.043660078720744046
35,rew,theil_ind,0.16282406325633464,0.023888555371189245
36,rew,unpriv_fpr,0.45363898458063057,0.07731807948827406
37,rew,unpriv_fnr,0.3090424556790469,0.08651931755464128
38,rew,priv_fpr,0.46202323947231755,0.07764298042036333
39,rew,priv_fnr,0.3440782690687606,0.07164996972033863
40,eg,bal_acc,0.5074609222372073,0.016967147811599508
41,eg,disp_imp,0.5224689258976357,0.2497800603531694
42,eg,avg_odds_diff,0.049355217157985236,0.15048133979241346
43,eg,stat_par_diff,0.044414739086464795,0.13739904490523122
44,eg,eq_opp_diff,0.060512020994102286,0.18030726490571183
45,eg,theil_ind,0.34666578535618614,0.023261432720002324
46,eg,unpriv_fpr,0.043408228012643144,0.12151433732698183
47,eg,unpriv_fnr,0.9276592905412645,0.18546164696470824
48,eg,priv_fpr,0.005209814690774956,0.02030213694769246
49,eg,priv_fnr,0.988171311535367,0.044645095026611806
