,Method,Metric,Mean,Error
0,orig,bal_acc,0.5811362763302991,0.008659495017688736
1,orig,disp_imp,0.5892483861698036,0.30422542578960055
2,orig,avg_odds_diff,-0.7283526524919228,0.08667198823515669
3,orig,stat_par_diff,-0.7144656609085398,0.08787445430969551
4,orig,eq_opp_diff,-0.7752586466344301,0.08731318376512168
5,orig,theil_ind,0.12666054397389373,0.02618970927577278
6,orig,unpriv_fpr,0.00499280911533387,0.008771856933998838
7,orig,unpriv_fnr,0.9836538461538462,0.043100523305098365
8,orig,priv_fpr,0.6864394674647489,0.09442452020146525
9,orig,priv_fnr,0.20839519951941593,0.07744903836068869
10,transf,bal_acc,0.5611602285971828,0.009957105321038913
11,transf,disp_imp,0.4395660895419691,0.16744529624295426
12,transf,avg_odds_diff,-0.2384501119030007,0.18500103256395584
13,transf,stat_par_diff,-0.24702433513483318,0.16223970043671743
14,transf,eq_opp_diff,-0.25863233627461774,0.23733281984169693
15,transf,theil_ind,0.15907155240139828,0.06299752639510305
16,transf,unpriv_fpr,0.3603689013966959,0.1347544593816607
17,transf,unpriv_fnr,0.5761854264156895,0.23556241049630644
18,transf,priv_fpr,0.5786367889280797,0.20448722022293608
19,transf,priv_fnr,0.3175530901410719,0.18724586274194097
20,dir,bal_acc,0.5787188215086743,0.008049635450028072
21,dir,disp_imp,0.5858888772726083,0.3070230115412584
22,dir,avg_odds_diff,-0.6944805694997322,0.16267279877964835
23,dir,stat_par_diff,-0.677225283808178,0.16854720976879567
24,dir,eq_opp_diff,-0.7446888905504482,0.14989202328094156
25,dir,theil_ind,0.13837426363960972,0.049494015926324374
26,dir,unpriv_fpr,0.005364018617281774,0.009262674321853922
27,dir,unpriv_fnr,0.9916666666666666,0.025649458802128863
28,dir,priv_fpr,0.6496362670662984,0.17854575549722454
29,dir,priv_fnr,0.24697777611621846,0.15294208825805455
30,rew,bal_acc,0.5658564682394245,0.010171514037308553
31,rew,disp_imp,0.5060711798900293,0.124132039087808
32,rew,avg_odds_diff,-0.30239460107592764,0.11768876651083979
33,rew,stat_par_diff,-0.3318761868399846,0.08357280119412164
34,rew,eq_opp_diff,-0.2996083858548516,0.1847228279322913
35,rew,theil_ind,0.1419501985176757,0.036359368766738766
36,rew,unpriv_fpr,0.32645449657693854,0.11482604333581138
37,rew,unpriv_fnr,0.5626203109755742,0.19444076190463672
38,rew,priv_fpr,0.6316353128739424,0.11575482596531537
39,rew,priv_fnr,0.26301192512072247,0.10547527651024904
40,eg,bal_acc,0.499986638161411,5.975595877872543e-05
41,eg,disp_imp,0.5,0.16222142113076254
42,eg,avg_odds_diff,-1.5188335358444713e-05,6.792430065309203e-05
43,eg,stat_par_diff,-2.0491803278688525e-05,9.164213022540121e-05
44,eg,eq_opp_diff,0.0,0.0
45,eg,theil_ind,0.3579149550126357,0.007953718042662327
46,eg,unpriv_fpr,0.0,0.0
47,eg,unpriv_fnr,1.0,0.0
48,eg,priv_fpr,3.0376670716889426e-05,0.00013584860130618406
49,eg,priv_fnr,1.0,0.0
