,Method,Metric,Mean,Error
0,orig,bal_acc,0.5019524491622775,0.0060216832176544395
1,orig,disp_imp,0.0003657058027555282,0.0013483817395777947
2,orig,avg_odds_diff,2.9033783665058378e-05,0.0038156370394948603
3,orig,stat_par_diff,0.00023877776125365014,0.0013721579735514328
4,orig,eq_opp_diff,-0.00010864841373315892,0.00048589047750973005
5,orig,theil_ind,0.016655142931459567,0.0012058407506639007
6,orig,unpriv_fpr,0.9960000493143966,0.011818285790653643
7,orig,unpriv_fnr,0.00010864841373315949,0.0004858904775097326
8,orig,priv_fpr,0.9958333333333333,0.018633899812498255
9,orig,priv_fnr,0.0,0.0
10,transf,bal_acc,0.5019524491622775,0.0060216832176544395
11,transf,disp_imp,0.0003657058027555282,0.0013483817395777947
12,transf,avg_odds_diff,2.9033783665058378e-05,0.0038156370394948603
13,transf,stat_par_diff,0.00023877776125365014,0.0013721579735514328
14,transf,eq_opp_diff,-0.00010864841373315892,0.00048589047750973005
15,transf,theil_ind,0.016655142931459567,0.0012058407506639007
16,transf,unpriv_fpr,0.9960000493143966,0.011818285790653643
17,transf,unpriv_fnr,0.00010864841373315949,0.0004858904775097326
18,transf,priv_fpr,0.9958333333333333,0.018633899812498255
19,transf,priv_fnr,0.0,0.0
20,dir,bal_acc,0.5,0.0
21,dir,disp_imp,0.0,0.0
22,dir,avg_odds_diff,0.0,0.0
23,dir,stat_par_diff,0.0,0.0
24,dir,eq_opp_diff,0.0,0.0
25,dir,theil_ind,0.0166101023515492,0.0012551814198608236
26,dir,unpriv_fpr,1.0,0.0
27,dir,unpriv_fnr,0.0,0.0
28,dir,priv_fpr,1.0,0.0
29,dir,priv_fnr,0.0,0.0
30,rew,bal_acc,0.501710494283226,0.004980977059799694
31,rew,disp_imp,0.0003657058027555282,0.0013483817395777947
32,rew,avg_odds_diff,0.00027858560895840934,0.004840195009848844
33,rew,stat_par_diff,0.00023877776125365014,0.0013721579735514328
34,rew,eq_opp_diff,-0.00013037809647979405,0.000583068573011691
35,rew,theil_ind,0.01668188472083302,0.0012060999612969498
36,rew,unpriv_fpr,0.99652088264773,0.009611150761621114
37,rew,unpriv_fnr,0.0001303780964797914,0.0005830685730116792
38,rew,priv_fpr,0.9958333333333333,0.018633899812498255
39,rew,priv_fnr,0.0,0.0
40,eg,bal_acc,0.5226067574057385,0.012507473317558497
41,eg,disp_imp,0.005999738052447923,0.004616696078861759
42,eg,avg_odds_diff,-0.020826008822992716,0.017110650908360156
43,eg,stat_par_diff,-0.00161119930600383,0.007487337719457099
44,eg,eq_opp_diff,-0.0005909151839118554,0.006576925728491078
45,eg,theil_ind,0.018905076936244547,0.0025238033997903335
46,eg,unpriv_fpr,0.9474004359994652,0.027480395103072475
47,eg,unpriv_fnr,0.003138696277810709,0.0024721030578346483
48,eg,priv_fpr,0.9884615384615385,0.0376431142253533
49,eg,priv_fnr,0.0025477810938988633,0.006519357213930796
