,Method,Metric,Mean,Error
0,orig,bal_acc,0.7536368870942447,0.01269808733838506
1,orig,disp_imp,0.40300128963922066,0.045481293567638026
2,orig,avg_odds_diff,-0.10171714258982649,0.0281439982818535
3,orig,stat_par_diff,-0.17742325538451514,0.02455035179592295
4,orig,eq_opp_diff,-0.08230234596965805,0.04398691272962989
5,orig,theil_ind,0.0945718532445829,0.004501454349309409
6,orig,unpriv_fpr,0.19896701895273936,0.03224057449088557
7,orig,unpriv_fnr,0.29870782456829714,0.04877236819095244
8,orig,priv_fpr,0.32009895816273437,0.04825175503481657
9,orig,priv_fnr,0.2164054785986392,0.0323908555024662
10,transf,bal_acc,0.7535992678288732,0.015842325297511683
11,transf,disp_imp,0.3637980620580875,0.03707863641106331
12,transf,avg_odds_diff,-0.08125038993825592,0.029934308742834287
13,transf,stat_par_diff,-0.15510556488884128,0.023610016562869558
14,transf,eq_opp_diff,-0.06597306067628965,0.05187795421860761
15,transf,theil_ind,0.09477345579129783,0.007102111849061907
16,transf,unpriv_fpr,0.2063682146501847,0.03116250230287648
17,transf,unpriv_fnr,0.29031049961155053,0.05852898225454459
18,transf,priv_fpr,0.30289593385040686,0.049401294841933556
19,transf,priv_fnr,0.22433743893526095,0.04495404309588924
20,dir,bal_acc,0.756790724688569,0.013015214777803954
21,dir,disp_imp,0.4263257510992208,0.03982260571373435
22,dir,avg_odds_diff,-0.11423406396402543,0.03070559100511191
23,dir,stat_par_diff,-0.19149174186725537,0.026554832665268303
24,dir,eq_opp_diff,-0.09301196480859424,0.04817297215040043
25,dir,theil_ind,0.09374484484656348,0.00516110672883391
26,dir,unpriv_fpr,0.19206869592773335,0.025097841371010385
27,dir,unpriv_fnr,0.30020930572978005,0.04694348390044993
28,dir,priv_fpr,0.3275248590471899,0.04680106936352149
29,dir,priv_fnr,0.20719734092118575,0.03466073733138627
30,rew,bal_acc,0.7527370265994114,0.012419263634221779
31,rew,disp_imp,0.3834768956949226,0.04569053168127858
32,rew,avg_odds_diff,-0.09309575988083152,0.02606071372904789
33,rew,stat_par_diff,-0.16626790842269196,0.027677935448213675
34,rew,eq_opp_diff,-0.07777326536486089,0.04100460307957565
35,rew,theil_ind,0.09494391513967362,0.004757230092744073
36,rew,unpriv_fpr,0.20298623073634975,0.03511959589730072
37,rew,unpriv_fnr,0.2981591005723577,0.044133646876791846
38,rew,priv_fpr,0.3114044851331519,0.05398136354804423
39,rew,priv_fnr,0.22038583520749686,0.03751287770978511
40,eg,bal_acc,0.6684771320413552,0.017372400120348956
41,eg,disp_imp,0.5179565893481308,0.07067047511070276
42,eg,avg_odds_diff,-0.052902686823489954,0.028392912542787876
43,eg,stat_par_diff,-0.08501328228685875,0.015837951559932967
44,eg,eq_opp_diff,-0.07133126770135505,0.051785120450078784
45,eg,theil_ind,0.1293086422636485,0.008420119334088743
46,eg,unpriv_fpr,0.03869276336087864,0.007659116106570408
47,eg,unpriv_fnr,0.6510179734097071,0.045995593325799
48,eg,priv_fpr,0.07316686930650348,0.010049520187714111
49,eg,priv_fnr,0.579686705708352,0.0428393400232305
